exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),100293
COMEDK,2025,E074,"KLS Vishwanathrao Deshpande Institute of Technology- Dandeli Road, Haliyal",GM,CA,CA-Computer Science & Engineering (Artificial Intelligence),111074
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,BT,BT-Bio- technology,38302
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,CH,CH-Chemical Engineering,40176
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),2098
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,BT,BT-Bio- technology,93008
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),11499
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CA,CA-Computer Science & Engineering (Artificial Intelligence),101827
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CB,CB-Computer Science & Business Systems,109740
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CD,CD-Computer Science & Engineering (Data Science),106871
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),98718
COMEDK,2025,E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),88213
COMEDK,2025,E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),86203
COMEDK,2025,E084,"Nagarjuna College of Engineering And Technology- Devanahalli, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),110636
COMEDK,2025,E085,"The National Institute of Engineering North Campus- Koorgalli, Mysuru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),25039
COMEDK,2025,E085,"The National Institute of Engineering North Campus- Koorgalli, Mysuru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),29233
COMEDK,2025,E089,"P.E.S.College of Engineering, Mandya",GM,CD,CD-Computer Science & Engineering (Data Science),70443
COMEDK,2025,E089,"P.E.S.College of Engineering, Mandya",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),33228
COMEDK,2025,E090,PES Institute of Technology and Management,GM,CD,CD-Computer Science & Engineering (Data Science),73527
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,BT,BT-Bio- technology,18547
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),890
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,CH,CH-Chemical Engineering,13038
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),975
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,BT,BT-Bio- technology,47177
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,CD,CD-Computer Science & Engineering (Data Science),2557
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,CH,CH-Chemical Engineering,76609
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),2388
COMEDK,2025,E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,CG,CG-Computer Science & Design,107629
COMEDK,2025,E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),48497
COMEDK,2025,E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),46906
COMEDK,2025,E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",KKR,CD,CD-Computer Science & Engineering (Data Science),64916
COMEDK,2025,E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),58192
COMEDK,2025,E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),111065
COMEDK,2025,E108,"SJC Institute of Technology-BB Road, Chikkaballapur",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),91872
COMEDK,2025,E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),83348
COMEDK,2025,E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),110575
COMEDK,2025,E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),62074
COMEDK,2025,E117,"SDM College of Engineering and Technology, Tulu Minority- Kalaghatagi, Dharwad",GM,CH,CH-Chemical Engineering,84163
COMEDK,2025,E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),20772
COMEDK,2025,E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),27910
COMEDK,2025,E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,BT,BT-Bio- technology,72665
COMEDK,2025,E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),37549
COMEDK,2025,E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",KKR,CD,CD-Computer Science & Engineering (Data Science),65534
COMEDK,2025,E128,"Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology-Laxmeswar, Gadag",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),85586
COMEDK,2025,E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),84255
COMEDK,2025,E145,"Vemana Institute of Technology-Koramangala, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),87855
COMEDK,2025,E147,Vidyavardhaka College of Engineering,GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),80591
COMEDK,2025,E147,Vidyavardhaka College of Engineering,KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),95881
COMEDK,2025,E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),86632
COMEDK,2025,E161,"Cambridge Institute of Technology North Campus- Kundana, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),78588
COMEDK,2025,E164,"REVA University-Yelahanka, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),42895
COMEDK,2025,E165,"Alliance University-Anekal, Bengaluru",GM,BT,BT-Bio- technology,104073
COMEDK,2025,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),53533
COMEDK,2025,E173,"Presidency University-Yelahanka, Bengaluru",GM,CBD,CBD-Computer Science & Technology (Big Data),73997
COMEDK,2025,E173,"Presidency University-Yelahanka, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),70513
COMEDK,2025,E173,"Presidency University-Yelahanka, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),69049
COMEDK,2025,E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,CD,CD-Computer Science & Engineering (Data Science),91982
COMEDK,2025,E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,CE,CE-Computer Engineering,79385
COMEDK,2025,E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),69153
COMEDK,2025,E187,"CMR University-Bagalur-Chagalatti, Bengaluru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),92917
COMEDK,2025,E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),24673
COMEDK,2025,E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",KKR,CI,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),33761
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CS,CS-Computer Science & Engineering,109781
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,CS,CS-Computer Science & Engineering,95420
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,CS,CS-Computer Science & Engineering,81816
COMEDK,2025,E004,Adichunchanagiri Institute of Technology,GM,CS,CS-Computer Science & Engineering,96642
COMEDK,2025,E005,"Akash Institute of Engineering and Technology- Devanahalli, Bengaluru Rural",GM,CS,CS-Computer Science & Engineering,64460
